Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume,Open Interest Lots,Traded Lots,Traded Volume,Number of Trades
6/17/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,34.87,,,,,,,,,,,,"338,520 MWh",455,,,
6/17/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,40.47,,,,,,,,,,,,,,,,
6/17/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,41.31,,,,,,,,,,,,,,,,
6/17/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,35.99,,,,,,,,,,,,,,,,
6/16/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.69,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/16/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,31.01,29.95,2020-06-16T08:21:46,31.1,2020-06-16T15:52:29,29.95,2020-06-16T08:21:46,30.5,2020-06-16T17:48:28,579,"430,776 MWh",127,"16,675,272 MWh","22,413","1,294","962,736 MWh",145
6/16/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,30.53,29.9,2020-06-16T08:59:46,30.5,2020-06-16T13:42:34,29.9,2020-06-16T08:59:46,30.2,2020-06-16T17:54:36,51,"37,944 MWh",16,"5,173,776 MWh","6,954",984,"732,096 MWh",98
6/16/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,34.42,34,2020-06-16T09:11:28,34.35,2020-06-16T16:35:31,33.9,2020-06-16T12:20:10,34.35,2020-06-16T16:35:31,57,"41,040 MWh",12,"3,143,520 MWh","4,366",126,"90,720 MWh",16
6/16/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,34.09,33.8,2020-06-16T11:30:27,33.8,2020-06-16T11:30:27,33.8,2020-06-16T11:30:27,33.8,2020-06-16T11:30:27,5,"3,725 MWh",1,"537,145 MWh",721,,,
6/16/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,39.13,,,,,,,,,,,,"3,600 MWh",5,,,
6/16/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,35.41,,,,,,,,,,,,"338,520 MWh",455,,,
6/16/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,40.94,,,,,,,,,,,,,,,,
6/16/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,41.79,,,,,,,,,,,,,,,,
6/16/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,36.4,,,,,,,,,,,,,,,,
6/15/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,25.85,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/15/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,29.31,29,2020-06-15T08:36:26,29.6,2020-06-15T12:42:08,29,2020-06-15T08:36:26,29.35,2020-06-15T15:56:42,146,"108,624 MWh",27,"15,542,160 MWh","20,890",393,"292,392 MWh",50
6/15/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,29.22,28.95,2020-06-15T08:40:19,29.41,2020-06-15T17:39:36,28.9,2020-06-15T09:19:26,29.35,2020-06-15T17:49:29,71,"52,824 MWh",31,"4,567,416 MWh","6,139",170,"126,480 MWh",15
6/15/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,33.21,,,,,,,,,,,,"3,027,600 MWh","4,205",,,
6/15/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,33.25,,,,,,,,,,,,"533,420 MWh",716,,,
6/15/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,37.89,,,,,,,,,,,,"3,600 MWh",5,,,
6/15/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,34.49,,,,,,,,,,,,"338,520 MWh",455,,,
6/15/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,39.78,,,,,,,,,,,,,,,,
6/15/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,40.61,,,,,,,,,,,,,,,,
6/15/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,35.36,,,,,,,,,,,,,,,,
6/12/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.26,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/12/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,29.41,28.95,2020-06-12T08:19:42,29.43,2020-06-12T15:43:59,28.6,2020-06-12T08:27:02,29.2,2020-06-12T17:34:44,157,"116,808 MWh",49,"15,238,608 MWh","20,482",723,"537,912 MWh",109
