;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
29-11-2017;DEBM;2017.12;01-12-17;31-12-17;744;38,6;38,8;38,45;38,8;38,61;64728;87;19;275280;370;63;3753480;5045
29-11-2017;DEBM;2018.01;01-01-18;31-01-18;744;45,1;45,1;45,1;45,1;45,15;14880;20;2;0;0;0;380928;512
29-11-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,25;44,25;44,25;44,25;44,74;3360;5;1;0;0;0;77952;116
29-11-2017;DEBM;2018.03;01-03-18;31-03-18;743;36,5;36,5;36,5;36,5;36,48;3715;5;1;0;0;0;405678;546
29-11-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,2;0;0;0;0;0;0;25200;35
29-11-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;31,6;0;0;0;0;0;0;0;0
29-11-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,1;0;0;0;0;0;0;0;0
29-11-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,14;0;0;0;0;0;0;0;0
29-11-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;34,62;0;0;0;0;0;0;0;0
28-11-2017;DEBM;2017.11;01-11-17;30-11-17;720;;;;;40,4;0;0;0;0;0;0;1347120;1871
